NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_LOCAL_RESID_DIFERENCIADA|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_AMPLIADA_18|IN_RECURSO_AMPLIADA_24|IN_RECURSO_CD_AUDIO|IN_RECURSO_PROVA_PORTUGUES|IN_RECURSO_VIDEO_LIBRAS|IN_RECURSO_BRAILLE|IN_RECURSO_NENHUM|IN_AEE_LIBRAS|IN_AEE_LINGUA_PORTUGUESA|IN_AEE_INFORMATICA_ACESSIVEL|IN_AEE_BRAILLE|IN_AEE_CAA|IN_AEE_SOROBAN|IN_AEE_VIDA_AUTONOMA|IN_AEE_OPTICOS_NAO_OPTICOS|IN_AEE_ENRIQ_CURRICULAR|IN_AEE_DESEN_COGNITIVO|IN_AEE_MOBILIDADE|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_BICICLETA|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_TR_ANIMAL|IN_TRANSP_VANS_KOMBI|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|TP_ETAPA_ENSINO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_MEDIACAO_DIDATICO_PEDAGO|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_UNIFICADA|TP_TIPO_ATENDIMENTO_TURMA|TP_TIPO_LOCAL_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2019|8E14FAA3552A35DD9D667BC7BD6E1EEA|350434061|11|1997|21|22|1|1|1|76|32|3205200|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||39|0|0|0|1|206342|3043|1|320|0|0|0|0|6|0|1|0|32041209|3|3203|32009|32|3205309|320530905|1|1|||||||||||1|0|0
2019|F2CB2AF99824E0C34299AFA8451F4DA2|306185925|5|2004|15|15|2|1|1|76|32|3201308|32|3201308|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||41|0|1|0|0|13338476||1|270|0|0|0|0|5|0|1|0|32034504|3|3203|32009|32|3201308|320130805|3|1|||||||||||1|0|0
2019|7C6746E1720527D3F50DCCCB4F47BCF1|287022136|9|1998|20|21|1|3|1|76|31|3137700|32|3201308|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||39|0|0|0|1|12291015|3041|1|240|0|0|0|0|5|0|1|0|32070144|3|3203|32009|32|3205309|320530905|4|1|1|0||1|0|0|0|0|1|0|0|0|0
2019|3E5DF275C7543A3399691D8223BE3C1E|17651657|4|2008|11|11|2|1|1|76|32|3205309|32|3205101|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||19|0|1|0|0|435520||1|270|0|0|0|0|5|0|1|0|32068859|3|3203|32009|32|3201308|320130805|4|1|1|0||1|0|0|0|0|0|0|1|0|0
2019|E97869D3C34579A3B0662535F89A0BA6|306347253|10|2007|11|12|1|3|1|76|32|3201308|||1||0||||||||||||||||||||||||||||||||||3|0||||||||||||19|0|1|0|0|13344977||1|270|0|0|0|0|5|0|1|0|32034890|3|3203|32009|32|3201308|320130810|3|1|||||||||||1|0|0
2019|F61A748CE6C2F16CD44E0323E58C1D59|309346755|1|2007|12|12|1|2|1|76|32|3205309|32|3201308|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||19|0|1|0|0|15490547||1|270|0|0|0|0|5|0|1|0|32034865|3|3203|32009|32|3201308|320130805|3|1|||||||||||2|0|0
2019|28D09CBF0C19B966F0BD385D622EDD42|348327849|9|2012|6|7|1|1|1|76|32|3205309|32|3201308|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||14|0|1|0|0|13346204||1|270|0|0|0|0|5|0|1|0|32033982|3|3203|32009|32|3201308|320130805|3|1|||||||||||1|0|0
2019|126A58E3299E08E94800AF70AD645E16|349663875|1|2008|11|11|1|0|1|76|33|3300605|32|3201100|1||1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|3|0|||||||||||||||||7987925||1|270|||||5||4|0|32065795|3|3204|32012|32|3200508|320050805|3|1|||||||||||1|0|0
2019|9FF3AB2741E3FCCD9992BD6719C01A30|349726791|6|2014|4|5|2|1|1|76|32|3205200|32|3205200|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||2|0|1|0|0|9177409||1|260|0|0|0|0|5|0|1|0|32063466|3|3203|32009|32|3205200|320520005|4|1|1|0||1|0|0|0|0|0|0|1|0|0
2019|28E32791EC3D90615A129A0FEF55D3ED|349308605|5|2012|7|7|1|3|1|76|32|3200904|32|3200169|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||14|0|1|0|0|15478577||1|260|0|0|0|0|5|0|1|0|32000510|3|3201|32001|32|3200169|320016920|3|1|||||||||||1|0|0
2019|D67B97D317C1EB8F70A53572AF1C03DA|350185099|9|2008|10|11|1|1|1|76|32|3205200|32|3205200|1||1|0|0|1|0|0|0|0|0|0|0|9|9|9|9|9|9|9|9|9|9|9|9||||||||||||3|0||||||||||||17|0|1|0|0|8860237||1|260|0|0|240|0|5|0|1|0|32081669|3|3203|32009|32|3205200|320520005|3|1|||||||||||1|0|0
